Bits,K1 Real,K1 Aproximado,K2 Real,K2 Aproximado,ID Real,ID Aproximado
4 bits,"[1, 0, 1, 0]","[0.4925, 0.505, 0.4996, 0.495]","[1, 0, 0, 1]","[0.4966, 0.5052, 0.4965, 0.5002]","[1, 0, 1, 0]","[0.501, 0.5052, 0.5012, 0.4961]"
8 bits,"[0, 1, 1, 0, 1, 1, 0, 0]","[0.5007, 0.5033, 0.4999, 0.4872, 0.4996, 0.4998, 0.494, 0.4945]","[0, 1, 0, 0, 0, 1, 1, 1]","[0.4981, 0.4948, 0.5019, 0.4967, 0.4885, 0.5, 0.5034, 0.5009]","[1, 1, 1, 1, 0, 0, 0, 0]","[0.4998, 0.503, 0.5026, 0.4978, 0.5024, 0.4967, 0.499, 0.4922]"
