Bits,K1 Real,K1 Aproximado,K2 Real,K2 Aproximado,ID Real,ID Aproximado
0,1,0.4925,1,0.5068,1,0.5053
1,0,0.5024,1,0.512,0,0.4974
2,0,0.5077,1,0.5061,1,0.5055
3,0,0.5029,0,0.5024,0,0.4978
