Bits,K1 Real,K1 Aproximado,K2 Real,K2 Aproximado,ID Real,ID Aproximado
4 bits,"[1, 0, 0, 0]","[0.4925, 0.5024, 0.5077, 0.5029]","[1, 1, 1, 0]","[0.5068, 0.512, 0.5061, 0.5024]","[1, 0, 1, 0]","[0.5053, 0.4974, 0.5055, 0.4978]"
8 bits,"[1, 0, 1, 1, 1, 0, 0, 1]","[0.5073, 0.5021, 0.5023, 0.4925, 0.5013, 0.4878, 0.4989, 0.493]","[1, 0, 1, 0, 0, 0, 1, 0]","[0.5001, 0.5005, 0.5009, 0.5049, 0.4992, 0.4914, 0.4963, 0.4955]","[0, 0, 1, 1, 1, 1, 1, 1]","[0.5048, 0.4938, 0.5031, 0.505, 0.4991, 0.4922, 0.5019, 0.4977]"
